ID,List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
69,185,1992,1,,15.0,7.0,"3,8,15",4.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,4.0,2.0,6.0,3.0,5.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,1.0,7.0,3.0,4.0,4.0,6.0,4.0
70,126,1995,1,,20.0,3.0,"11,17",4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,6.0,4.0,5.0,4.0,6.0,6.0,6.0,1.0,6.0,3.0,5.0,6.0,5.0,1.0,6.0,6.0,6.0,3.0,4.0,5.0,2.0,2.0,6.0,6.0,4.0,1.0
71,192,1998,1,,20.0,1.0,"7,11,19",4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,6.0,4.0,6.0,1.0,7.0,5.0,6.0,1.0,7.0,1.0,6.0,6.0,4.0,1.0,6.0,7.0,7.0,2.0,7.0,5.0,5.0,1.0,7.0,7.0,7.0,1.0
72,78,1984,1,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,78,1997,2,,15.0,3.0,"10,14",3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,164,1986,2,,24.0,12.0,11,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,1.0,6.0,1.0,7.0,3.0,7.0,6.0,6.0,1.0,6.0,7.0,4.0,1.0,4.0,7.0,1.0,1.0,7.0,3.0,1.0,1.0,7.0,7.0,5.0,3.0
75,164,1980,1,,24.0,,11,2.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,7.0,7.0,7.0,3.0,7.0,2.0,7.0,2.0,6.0,6.0,5.0,2.0,5.0,6.0,6.0,2.0,6.0,3.0,6.0,2.0,6.0,6.0,6.0,2.0
76,137,1996,1,,4.0,,"3,6,7,17",4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,1.0,7.0,1.0,7.0,2.0,6.0,1.0,7.0,7.0,4.0,1.0,7.0,7.0,4.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,4.0,4.0
77,164,1990,1,,24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,130,1992,1,,15.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,78,1994,2,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,126,1988,1,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,78,1989,2,,17.0,9.0,10,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,7.0,5.0,6.0,1.0,7.0,1.0,7.0,7.0,4.0,3.0,7.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,7.0,7.0,7.0,4.0
82,126,1985,2,,14.0,12.0,16,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,1.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,1.0,3.0,7.0,5.0,4.0,4.0,7.0,7.0,1.0
83,126,1996,2,,11.0,2.0,"10,16,19",2.0,5.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,6.0,7.0,7.0,7.0,1.0,6.0,7.0,7.0,1.0,6.0,7.0,4.0,1.0,7.0,7.0,7.0,1.0
84,78,1999,1,,17.0,0.0,,1.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,6.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0
85,126,1993,1,,2.0,2.0,4,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,7.0,4.0,7.0,7.0,6.0,,7.0,4.0,5.0,7.0,4.0,1.0,4.0,6.0,6.0,1.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,1.0
86,30,1997,1,,16.0,3.0,19,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,6.0,4.0,7.0,2.0,5.0,5.0,2.0,5.0,4.0,5.0,6.0,6.0,5.0,1.0,6.0,6.0,5.0,1.0,5.0,5.0,2.0,1.0,6.0,6.0,6.0,1.0
87,53,1996,1,,15.0,,"10,13",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,6.0,7.0,3.0,2.0,6.0,7.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,7.0
88,126,1980,1,,15.0,15.0,11,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,6.0,1.0,7.0,1.0,7.0,4.0,7.0,1.0,7.0,1.0,7.0,7.0,3.0,1.0,3.0,7.0,7.0,1.0,6.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0
89,172,1997,1,,17.0,3.0,10,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,2.0,5.0,6.0,6.0,1.0,6.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
90,130,1995,1,,17.0,4.0,"13,16,17",3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,6.0,1.0,6.0,3.0,7.0,6.0,7.0,1.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,4.0,6.0,7.0,3.0,2.0,7.0,7.0,6.0,1.0
91,164,1994,1,,24.0,2.5,"3,8,10",3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,7.0,5.0,5.0,2.0,6.0,1.0,7.0,6.0,4.0,1.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0
92,126,1992,1,,,6.0,"1,12",2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,1.0,7.0,6.0,7.0,6.0,7.0,1.0,7.0,1.0,5.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,6.0,1.0,7.0,7.0,7.0,1.0
93,164,1986,1,,17.0,12.0,10,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,78,1984,2,,15.0,15.0,"10,13",4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,1.0,7.0,6.0,7.0,5.0,7.0,1.0,5.0,1.0,7.0,7.0,4.0,1.0,4.0,7.0,7.0,1.0,3.0,1.0,1.0,1.0,7.0,7.0,4.0,1.0
95,126,1980,2,,6.0,14.0,"7,11",4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,1.0,7.0,1.0,7.0,3.0,7.0,1.0,7.0,1.0,7.0,4.0,4.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
96,164,1998,1,,17.0,3.0,10,2.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,6.0,5.0,6.0,2.0,6.0,4.0,4.0,2.0,6.0,4.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,2.0,6.0,,2.0,2.0,5.0,6.0,4.0,2.0
97,21,1998,1,,15.0,2.0,7,2.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,6.0,6.0,3.0,6.0,5.0,4.0,2.0,7.0,3.0,7.0,6.0,4.0,1.0,6.0,6.0,5.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,4.0,1.0
98,163,1994,2,,32.0,5.0,10,4.0,3.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,7.0,4.0,6.0,5.0,6.0,1.0,7.0,2.0,4.0,1.0,7.0,7.0,1.0,1.0,4.0,7.0,4.0,1.0,4.0,6.0,1.0,1.0,6.0,7.0,3.0,1.0
99,179,1987,1,,24.0,7.0,11,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,6.0,6.0,6.0,5.0,6.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,6.0,3.0,4.0,5.0,6.0,5.0,4.0,3.0,6.0,4.0,5.0,4.0,5.0,5.0
100,179,1990,1,,20.0,,11,2.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,6.0,7.0,3.0,6.0,4.0,6.0,4.0,5.0,2.0,4.0,3.0,6.0,2.0,4.0,4.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0,4.0,2.0
101,126,1999,1,,15.0,10.0,"7,10",3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,7.0,4.0,6.0,3.0,7.0,5.0,5.0,2.0,4.0,1.0,7.0,6.0,4.0,1.0,7.0,7.0,4.0,1.0,7.0,6.0,1.0,1.0,7.0,7.0,7.0,1.0
102,126,1995,1,,11.0,3.0,"10,19",4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,6.0,2.0,7.0,4.0,6.0,6.0,6.0,1.0,5.0,1.0,5.0,6.0,7.0,1.0,5.0,7.0,7.0,1.0,5.0,5.0,2.0,1.0,6.0,7.0,5.0,1.0
103,126,1997,2,,12.0,3.0,"18,19",4.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,6.0,1.0,7.0,1.0,7.0,5.0,6.0,1.0,7.0,1.0,5.0,6.0,3.0,1.0,6.0,6.0,2.0,6.0,5.0,5.0,3.0,4.0,5.0,6.0,3.0,5.0
104,126,1976,1,,17.0,15.0,"10,14,19",4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,164,1977,1,,14.0,18.5,3,4.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,7.0,3.0,6.0,2.0,7.0,1.0,3.0,1.0,6.0,1.0,7.0,6.0,6.0,1.0,6.0,7.0,7.0,1.0,6.0,6.0,4.0,1.0,7.0,7.0,7.0,1.0
106,126,1986,2,,6.0,7.0,16,2.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107,14,1999,1,,17.0,0.0,,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,6.0,7.0,6.0,6.0,7.0,7.0,1.0,6.0,5.0,7.0,7.0,3.0,5.0,6.0,6.0,4.0,2.0,5.0,6.0,1.0,4.0,6.0,6.0,6.0,2.0
108,78,1997,2,,17.0,5.0,"10,13",4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,6.0,2.0,1.0,6.0,6.0,1.0,1.0,5.0,7.0,1.0,2.0,5.0,5.0,1.0,2.0
109,187,1997,1,,7.0,3.0,9,1.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,1.0,1.0,5.0,1.0,7.0,6.0,6.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,1.0,1.0,4.0,5.0,4.0,1.0
110,185,1998,2,,6.0,1.0,19,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,4.0,6.0,5.0,4.0,2.0,6.0,2.0,5.0,7.0,7.0,3.0,3.0,5.0,7.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,2.0
111,126,1980,1,,20.0,15.0,11,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,3.0,7.0,2.0,7.0,2.0,6.0,2.0,7.0,7.0,6.0,2.0,7.0,7.0,7.0,1.0,5.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
112,164,1992,2,,14.0,5.0,11,2.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,5.0,7.0,2.0,5.0,4.0,6.0,7.0,4.0,1.0,6.0,7.0,5.0,1.0,4.0,4.0,1.0,1.0,7.0,7.0,7.0,1.0
113,126,1990,1,,23.0,5.0,14,2.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,4.0,7.0,6.0,6.0,2.0,5.0,2.0,7.0,7.0,7.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,2.0,2.0,6.0,6.0,6.0,1.0
114,126,1996,2,,25.0,3.0,11,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,1.0,6.0,3.0,6.0,6.0,7.0,,2.0,3.0,4.0,7.0,7.0,1.0,4.0,6.0,7.0,2.0,5.0,5.0,6.0,2.0,5.0,5.0,6.0,4.0
115,126,2001,1,,11.0,0.0,,2.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,7.0,2.0,7.0,4.0,4.0,1.0,7.0,1.0,7.0,7.0,3.0,1.0,3.0,7.0,7.0,2.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0
116,66,1992,1,,8.0,,11,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,4.0,6.0,3.0,7.0,4.0,5.0,1.0,6.0,1.0,7.0,7.0,4.0,1.0,6.0,7.0,6.0,1.0,5.0,7.0,1.0,1.0,7.0,7.0,7.0,2.0
117,130,1999,2,,17.0,,"10,14",4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,7.0,2.0,6.0,3.0,7.0,1.0,7.0,4.0,5.0,7.0,5.0,2.0,6.0,7.0,4.0,1.0,5.0,6.0,1.0,1.0,5.0,6.0,4.0,1.0
118,118,1991,2,,24.0,5.0,"7,9",2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,7.0,7.0,7.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,4.0,5.0,4.0,1.0
119,126,1994,1,,35.0,,"5,11,13",4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,7.0,6.0,6.0,1.0,7.0,6.0,6.0,1.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0
120,185,2000,1,,8.0,0.0,,2.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,6.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,6.0,2.0,1.0,5.0,6.0,1.0,2.0,5.0,7.0,1.0,1.0,5.0,6.0,1.0,2.0
121,185,2002,1,,17.0,3.0,"3,6",4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,3.0,6.0,2.0,5.0,2.0,5.0,3.0,6.0,2.0,4.0,5.0,7.0,6.0,5.0,3.0,7.0,6.0,3.0,5.0,6.0,4.0,4.0,4.0,6.0,5.0
122,137,2001,1,,24.0,2.0,1,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,6.0,2.0,6.0,3.0,5.0,1.0,7.0,4.0,5.0,6.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0,6.0,6.0,2.0,2.0
123,80,1982,1,,15.0,10.0,19,2.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,5.0,4.0,3.0,1.0
124,104,1992,1,,24.0,7.0,11,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,6.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
125,185,1987,1,,15.0,5.0,13,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,7.0,2.0,7.0,5.0,7.0,1.0,6.0,1.0,7.0,7.0,1.0,1.0,4.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
126,3,2002,2,,13.0,1.0,"3,8,19",2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,6.0,5.0,5.0,1.0,3.0,2.0,6.0,4.0,1.0,1.0,4.0,6.0,2.0,2.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,2.0
127,185,1980,2,,11.0,26.0,"11,15,19",2.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,1.0,6.0,2.0,7.0,5.0,6.0,5.0,7.0,6.0,3.0,4.0,6.0,3.0,2.0,4.0,6.0,3.0,2.0,4.0,6.0,4.0,4.0,3.0,6.0,3.0
128,185,1984,2,,8.0,17.0,"13,17,19",4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,6.0,1.0,7.0,4.0,6.0,3.0,6.0,1.0,7.0,4.0,6.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,6.0,3.0,4.0,1.0,6.0,6.0,4.0,1.0
129,185,1988,1,,,15.0,6,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,7.0,5.0,5.0,3.0,7.0,1.0,4.0,4.0,5.0,2.0,6.0,5.0,4.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,2.0,2.0,6.0,6.0,2.0,2.0
130,36,2001,1,,17.0,0.0,19,1.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,6.0,5.0,4.0,5.0,6.0,2.0,6.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,4.0
131,156,1988,2,,8.0,12.0,"9,11",4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,1.0,5.0,5.0,2.0,7.0,1.0,7.0,2.0,6.0,2.0,5.0,3.0,5.0,7.0,2.0,1.0,5.0,6.0,1.0,4.0,5.0,7.0,1.0,1.0,5.0,4.0,1.0,1.0
132,78,1990,1,,17.0,12.0,"11,19",4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,7.0,3.0,7.0,3.0,7.0,3.0,5.0,1.0,6.0,2.0,7.0,7.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0
133,136,1984,1,,24.0,16.0,"3,4,11",4.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,3.0,3.0,6.0,3.0,6.0,4.0,7.0,1.0,6.0,4.0,4.0,2.0,5.0,7.0,5.0,6.0,7.0,7.0,7.0,1.0,7.0,7.0,,1.0,6.0,6.0,7.0,1.0
134,179,1982,1,,17.0,4.0,"10,19",3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,6.0,6.0,4.0,6.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0
135,192,1995,1,,,6.0,"3,7",4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,5.0,6.0,2.0,6.0,7.0,6.0,2.0,4.0,2.0,5.0,6.0,7.0,2.0,4.0,5.0,6.0,2.0,4.0,3.0,4.0,3.0,5.0,5.0,6.0,3.0
136,185,1974,1,,17.0,,"9,10,11,13",4.0,5.0,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,7.0,1.0,7.0,2.0,7.0,2.0,7.0,3.0,6.0,4.0,7.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0
137,126,1991,2,,24.0,3.0,"7,14,16,19",2.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,1.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,6.0,1.0
138,116,2001,1,,17.0,1.0,"8,16",3.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,4.0,6.0,6.0,5.0,4.0,6.0,2.0,7.0,7.0,1.0,1.0,6.0,6.0,4.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,5.0,1.0
139,126,2000,1,,6.0,1.0,19,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,6.0,3.0,7.0,6.0,6.0,1.0,7.0,1.0,6.0,4.0,5.0,1.0,6.0,6.0,6.0,1.0,5.0,7.0,1.0,1.0,6.0,5.0,5.0,1.0
140,185,1988,2,,8.0,15.0,"7,11,14,15,16",4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,6.0,4.0,5.0,5.0,6.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,7.0,4.0,3.0,5.0,7.0,4.0,3.0,1.0,7.0,4.0,4.0,4.0,7.0,2.0
141,36,2001,1,,17.0,0.0,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
142,87,1994,2,,8.0,6.0,"14,17",2.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,6.0,4.0,5.0,1.0,4.0,4.0,7.0,1.0,5.0,6.0,7.0,3.0,4.0,1.0,7.0,1.0,5.0,6.0,7.0,1.0
143,185,1990,1,,4.0,,"8,11",3.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,1.0,7.0,3.0,7.0,4.0,7.0,1.0,7.0,1.0,5.0,4.0,6.0,1.0,4.0,4.0,7.0,2.0,4.0,1.0,6.0,1.0,5.0,4.0,6.0,1.0
144,14,1995,2,,24.0,3.0,"10,11,19",2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,,6.0,7.0,1.0,7.0,1.0,7.0,5.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,6.0,2.0,1.0,7.0,7.0,1.0,2.0
145,185,2002,1,,28.0,5.0,"7,9",2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,6.0,3.0,4.0,5.0,6.0,3.0,5.0,5.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0
