List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
Sri Lanka,1997,Male,,CAH17-01	Business and management,3,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree moderately,Agree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,A Lot,A Lot,Exactly,A Lot,A Lot,A Lot,A Lot,Enough,Enough,Moderately,A Lot,Moderately,Moderately,A Lot,Enough,Moderately
Nigeria,1990,Male,,"CAH07-04	General, applied and forensic sciences",7,"FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Agree moderately,Diagree strongly,Enough,Exactly,Moderately,Not At All,A Lot,A Lot,Moderately,Not At All,A Little,Exactly,Not At All,Not At All,A Lot,Exactly,Exactly,Not At All
Nigeria,1993,Female,,CAH09-01	Mathematical sciences,6,FINANCIAL AND INSURANCE ACTIVITIES,I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,,,,,,Exactly,Enough,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,1988,Male,,CAH03-01	Biosciences,10,EDUCATION,I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree a little,Disagree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,A Lot,A Lot,Not At All,Not At All,Moderately,Enough,Not At All,Not At All,Enough,A Lot,Not At All,Not At All,Moderately,Enough,Not At All,A Very Little
United Kingdom of Great Britain and Northern Ireland,2000,Male,,CAH17-01	Business and management,,OTHER SERVICE ACTIVITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,1998,Male,,CAH15-02	Economics,0,,I have some experience,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,A Very Little,A Little,A Little,A Little,Moderately,Enough,A Little,A Little,A Very Little,A Very Little,A Lot,Not At All,A Little,A Very Little,A Very Little,Not At All
Switzerland,1996,Female,,CAH17-01	Business and management,13,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,EDUCATION,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have extensive experience of teamworking,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Agree a little,Disagree a little,Agree a little,Disagree a little,Moderately,Moderately,Exactly,A Little,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Exactly,A Little,Moderately,Moderately,Moderately,Moderately
United Kingdom of Great Britain and Northern Ireland,1995,Non-binary / third gender,,"CAH15-01	Sociology, social policy and anthropology",,OTHER SERVICE ACTIVITIES,I have extensive experience of teamworking,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree a little,Diagree strongly,Neither agree nor disagree,A Little,A Very Little,Exactly,A Very Little,Moderately,Exactly,Enough,Exactly,Enough,A Lot,Exactly,Enough,A Lot,Exactly,Exactly,A Little
United Kingdom of Great Britain and Northern Ireland,1998,Male,,CAH11-01	Computing,8,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Diagree strongly,Disagree moderately,Agree moderately,Agree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Neither agree nor disagree,A Lot,Exactly,Exactly,A Very Little,Moderately,Exactly,Exactly,A Very Little,A Lot,Exactly,Enough,Not At All,Exactly,Exactly,A Lot,A Little
Spain,1983,Male,,CAH10-01	Engineering,13,"MANUFACTURING,INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have extensive experience of teamworking,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Diagree strongly,Agree strongly,Disagree moderately,Enough,A Little,Enough,A Very Little,A Very Little,Enough,Exactly,A Lot,A Little,A Very Little,A Lot,A Very Little,A Little,Moderately,A Lot,Moderately
