List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
Sri Lanka,1986,Female,,CAH17-01	Business and management,12,FINANCIAL AND INSURANCE ACTIVITIES,I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree moderately,Diagree strongly,Agree moderately,Diagree strongly,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,A Lot,Exactly,Moderately,Not At All,Moderately,Exactly,Not At All,Not At All,Exactly,A Little,Not At All,Not At All,Exactly,Exactly,Enough,A Little
Sri Lanka,1980,Male,,CAH17-01	Business and management,,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Agree moderately,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,A Lot,A Lot,Enough,A Very Little,Enough,A Lot,A Lot,A Very Little,A Lot,A Little,A Lot,A Very Little,A Lot,A Lot,A Lot,A Very Little
Poland,1996,Male,,CAH02-05	Medical sciences,,"MANUFACTURING,CONSTRUCTION,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree moderately,Agree strongly,Agree a little,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Agree moderately,Diagree strongly,Exactly,Exactly,Moderately,Not At All,Exactly,Exactly,Moderately,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Moderately,Moderately
Sri Lanka,1990,Male,,CAH17-01	Business and management,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,1992,Male,,CAH10-01	Engineering,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1994,Female,,CAH15-02	Economics, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,1988,Male,,CAH10-01	Engineering,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,26-07-1989,Female,,CAH11-01	Computing,9,INFORMATION AND COMMUNICATION,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Diagree strongly,Diagree strongly,Diagree strongly,Agree strongly,Agree a little,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Moderately,A Little,Exactly,Exactly,Moderately,Moderately,Moderately,Not At All,Moderately,Moderately,Exactly,Exactly,Exactly,Moderately
Nigeria,1985,Female,,CAH09-01	Mathematical sciences,12,EDUCATION,I have no prior experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Diagree strongly,Diagree strongly,Agree moderately,Diagree strongly,Agree moderately,Agree moderately,Agree moderately,Diagree strongly,Agree moderately,Neither agree nor disagree,Moderately,Exactly,Exactly,Moderately,Moderately,Exactly,Exactly,Not At All,A Little,Exactly,Enough,Moderately,Moderately,Exactly,Exactly,Not At All
Nigeria,1996,Female,,CAH07-01	Physics and astronomy,2,"INFORMATION AND COMMUNICATION,EDUCATION,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Diagree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree moderately,Exactly,Exactly,Exactly,Not At All,A Lot,Exactly,Exactly,Not At All,A Lot,Exactly,Moderately,Not At All,Exactly,Exactly,Exactly,Not At All
India,1999,Male,,CAH11-01	Computing,0,,I have no prior experience of teamworking,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Exactly,Enough,A Little,A Very Little,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Not At All,Moderately,Moderately,Moderately,Moderately,Moderately
Nigeria,1993,Male,,"CAH02-02	Pharmacology, toxicology and pharmacy",2,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a little,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree moderately,,Agree strongly,Neither agree nor disagree,Enough,Exactly,Moderately,Not At All,Moderately,A Lot,A Lot,Not At All,Enough,Moderately,A Very Little,A Very Little,Moderately,Enough,Enough,Not At All
Cameroon,1997,Male,,CAH10-03	Materials and technology,3,OTHER SERVICE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree a little,Agree a little,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,A Lot,A Lot,Enough,Not At All,A Lot,A Lot,Enough,Not At All,Enough,Enough,A Very Little,Not At All,A Lot,A Lot,A Lot,Not At All
Egypt,1996,Male,,CAH10-01	Engineering,,"INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have extensive experience of teamworking,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,A Little,Enough,A Lot,Exactly,A Little,A Very Little,A Lot,Exactly,A Very Little,A Very Little,Exactly,Exactly,A Very Little,A Very Little,Exactly,Exactly
Nigeria,1980,Male,,CAH10-01	Engineering,15,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,A Little,Not At All,A Little,Exactly,Exactly,Not At All,A Lot,Not At All,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
Thailand,1997,Male,,CAH11-01	Computing,3,INFORMATION AND COMMUNICATION,I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Exactly,A Very Little,Enough,A Lot,A Lot,Not At All,A Lot,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
Pakistan,1995,Male,,CAH11-01	Computing,4,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,EDUCATION,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Agree moderately,Diagree strongly,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Diagree strongly,Agree moderately,Disagree a little,A Lot,A Lot,A Lot,A Lot,A Lot,Exactly,Exactly,Moderately,A Lot,Exactly,A Little,A Very Little,Exactly,Exactly,A Lot,Not At All
Sri Lanka,1994,Male,,CAH17-01	Business and management,2.5,"MANUFACTURING,TRANSPORTATION AND STORAGE,INFORMATION AND COMMUNICATION",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree moderately,Agree moderately,Diagree strongly,Exactly,A Lot,Moderately,Not At All,Exactly,Exactly,Moderately,Moderately,Exactly,Exactly,Moderately,Moderately,Exactly,Exactly,Moderately,Moderately
Nigeria,1992,Male,,,6,"AGRICULTURE, FORESTRY AND FISHING,REAL ESTATE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Agree moderately,Agree strongly,Agree moderately,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Enough,Exactly,Exactly,Not At All,Exactly,Exactly,Exactly,Not At All,Not At All,Not At All,A Lot,Not At All,Exactly,Exactly,Exactly,Not At All
Sri Lanka,1986,Male,,CAH11-01	Computing,12,INFORMATION AND COMMUNICATION,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1984,Female,,CAH10-01	Engineering,15,"INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree a little,Diagree strongly,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Diagree strongly,Agree a little,Diagree strongly,Exactly,Exactly,Moderately,Not At All,Moderately,Exactly,Exactly,Not At All,A Little,Not At All,Not At All,Not At All,Exactly,Exactly,Moderately,Not At All
Nigeria,1980,Female,,CAH03-01	Biosciences,14,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,FINANCIAL AND INSURANCE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Disagree a little,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Moderately,Moderately,Not At All,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All
Sri Lanka,1998,Male,,CAH11-01	Computing,3,INFORMATION AND COMMUNICATION,I have some experience,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Agree moderately,Neither agree nor disagree,A Lot,A Lot,Moderately,A Very Little,Enough,A Lot,Moderately,A Very Little,A Lot,,A Very Little,A Very Little,Enough,A Lot,Moderately,A Very Little
Bolivia,02/01/1998,Male,,CAH10-01	Engineering,2,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,I have some experience,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree a little,Exactly,A Lot,Moderately,Not At All,A Lot,A Lot,Enough,Not At All,A Lot,Exactly,Not At All,Not At All,A Lot,Exactly,Moderately,Not At All
Spain,1994,Female,,"CAH24-01	Media, journalism and communications",5,INFORMATION AND COMMUNICATION,I have experience of teamworking and have also led teams,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Diagree strongly,Agree strongly,Disagree moderately,Neither agree nor disagree,Diagree strongly,Exactly,Exactly,Not At All,Not At All,Moderately,Exactly,Moderately,Not At All,Moderately,A Lot,Not At All,Not At All,A Lot,Exactly,A Little,Not At All
Turkey,1987,Male,,CAH17-01	Business and management,7,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree a little,Disagree moderately,Enough,Moderately,A Lot,A Little,Moderately,Enough,A Lot,Enough,Moderately,A Little,A Lot,Moderately,Enough,Moderately,Enough,Enough
Turkey,1990,Male,,CAH15-02	Economics,,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Moderately,A Little,A Lot,A Very Little,Moderately,Moderately,Enough,A Very Little,A Very Little,Not At All,Enough,Moderately,Moderately,Enough,Moderately,A Very Little
Nigeria,20 March 2023,Male,,CAH10-01	Engineering,10,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,INFORMATION AND COMMUNICATION",I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Agree a little,Agree a little,Disagree moderately,Neither agree nor disagree,Diagree strongly,Exactly,A Lot,Moderately,Not At All,Exactly,Exactly,Moderately,Not At All,Exactly,A Lot,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
Nigeria,23/06/1995,Male,,CAH07-01	Physics and astronomy,3,"INFORMATION AND COMMUNICATION,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Diagree strongly,Agree a little,Diagree strongly,Enough,A Lot,Exactly,Not At All,Enough,Exactly,Exactly,Not At All,Enough,Enough,A Very Little,Not At All,A Lot,Exactly,Enough,Not At All
Nigeria,20/11/1997,Female,,CAH07-02	Chemistry,3,"ARTS, ENTERTAINMENT AND RECREATION,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree a little,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Enough,A Lot,A Little,Not At All,A Lot,A Lot,A Very Little,A Lot,Enough,Enough,A Little,Moderately,Enough,A Lot,A Little,Enough
Nigeria,1976,Male,,CAH11-01	Computing,15,"INFORMATION AND COMMUNICATION,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,1977,Male,,CAH09-01	Mathematical sciences,18.5,MANUFACTURING,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree strongly,Diagree strongly,Disagree a little,Diagree strongly,Agree moderately,Diagree strongly,Exactly,A Lot,A Lot,Not At All,A Lot,Exactly,Exactly,Not At All,A Lot,A Lot,Moderately,Not At All,Exactly,Exactly,Exactly,Not At All
Nigeria,1986,Female,,CAH03-01	Biosciences,7,EDUCATION,I have some experience,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,07/09/1999,Male,,CAH11-01	Computing,0,,I have no prior experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Diagree strongly,Agree moderately,Agree a little,Exactly,Exactly,A Little,Enough,A Lot,A Lot,Moderately,A Very Little,Enough,A Lot,Not At All,Moderately,A Lot,A Lot,A Lot,A Very Little
India,1997,Female,,CAH11-01	Computing,5,"INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,A Lot,A Very Little,Not At All,A Lot,A Lot,Not At All,Not At All,Enough,Exactly,Not At All,A Very Little,Enough,Enough,Not At All,A Very Little
United States of America,1997,Male,,CAH03-02	Sport and exercise sciences,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,I have no prior experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Diagree strongly,Diagree strongly,Agree a little,Diagree strongly,Agree strongly,Agree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Enough,Enough,Not At All,Not At All,Moderately,Moderately,Enough,A Very Little,A Very Little,Enough,Not At All,Not At All,Moderately,Enough,Moderately,Not At All
United Kingdom of Great Britain and Northern Ireland,1998,Female,,CAH03-01	Biosciences,1,OTHER SERVICE ACTIVITIES,I have some experience,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree moderately,Enough,Exactly,Exactly,A Little,A Little,Enough,Exactly,A Little,Moderately,Moderately,Moderately,Not At All,Moderately,Enough,Enough,A Very Little
Nigeria,1980,Male,,CAH15-02	Economics,15,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a little,Disagree a little,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Exactly,Exactly,A Lot,A Very Little,Exactly,Exactly,Exactly,Not At All,Enough,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
Sri Lanka,1992,Female,,CAH09-01	Mathematical sciences,5,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Agree a little,Neither agree nor disagree,A Lot,Exactly,Moderately,Not At All,A Lot,Exactly,Enough,Not At All,Moderately,Moderately,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
Nigeria,1990,Male,,CAH16-01	Law,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,I have some experience,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Exactly,Exactly,Exactly,Not At All,A Lot,A Lot,A Lot,Not At All,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,A Lot,Not At All
Nigeria,1996,Female,,CAH19-01	English studies,3,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Diagree strongly,Agree moderately,Disagree a little,Agree moderately,Agree moderately,Agree strongly,,Disagree moderately,Disagree a little,Moderately,Exactly,Exactly,Not At All,Moderately,A Lot,Exactly,A Very Little,Enough,Enough,A Lot,A Very Little,Enough,Enough,A Lot,Moderately
Nigeria,2001,Male,,CAH07-01	Physics and astronomy,0,,I have some experience,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,A Little,Not At All,A Little,Exactly,Exactly,A Very Little,Enough,Exactly,Enough,Enough,Enough,Enough,Enough,Enough
Ghana,1992,Male,,CAH04-01	Psychology,,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Moderately,Not At All,A Lot,Exactly,A Lot,Not At All,Enough,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,A Very Little
Pakistan,1999,Female,,CAH11-01	Computing,,"INFORMATION AND COMMUNICATION,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,Enough,Exactly,Enough,A Very Little,A Lot,Exactly,Moderately,Not At All,Enough,A Lot,Not At All,Not At All,Enough,A Lot,Moderately,Not At All
