Q12,Q14,Q10,Q16,Unnamed: 9,Unnamed: 10,Student Activity by Day in hours,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Avg course & student time &logins,Unnamed: 19,Unnamed: 20,Unnamed: 21,Student Activity by Item in the Course total time spent in hours,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Number of Times Accessed,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Initial Access Date/Time,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,What is your first degree subject area?,Student ID,Date Range- Week 2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Student Time in Course,Avg Time Per User,Total items:,Total Logins,Assignments,Learning Materials,Module Information (Handbook(,Reading List,Week 1,Week 2,week 3 ,Assignments,Learning Materials,Module Information (Handbook),Reading List,Week 1,Week 2 ,Week 3,Assignments,Learning Materials,Module Information (Handbook),Reading List,Week 1,Week 2,week 3
Nigeria,1993,Female,CAH09-01	Mathematical sciences,23,10/10/22 - 16/10/22,3.5833333333333335,3.8641666666666667,0,0,1.4625,0,0,08:54:36,02:21:13,6,12,0,0.010833333333333334,0.006943333333333333,0,3.624445,2.173888333333333,0.9136116666666666,0,12,4,0,3,8,1,,2022-10-10 11:58:27.218000,2022-10-10 15:24:40.993000,,2022-10-10 12:23:44.434000,2022-10-10 11:58:30.854000,2022-10-14 13:09:28.644000
United Kingdom of Great Britain and Northern Ireland,1988,Male,CAH03-01	Biosciences,24,10/10/22 - 16/10/22,2.4705549999999996,4.871111666666667,0,0.0016666666666666668,0,0,0.26388833333333334,07:36:26,02:21:13,4,9,0,0.005,0,0,0.11722166666666665,1.080555,0.004445,0,8,0,0,2,5,1,,2022-10-10 13:45:51.036000,,,2022-10-10 13:45:54.592000,2022-10-10 13:46:29.688000,2022-10-16 13:48:01.333000
United Kingdom of Great Britain and Northern Ireland,2000,Male,CAH17-01	Business and management,25,10/10/22 - 16/10/22,0.007500000000000001,0.001945,0,0,0,0,0,00:00:34,02:21:13,3,3,0,0.0016666666666666668,0,0,0,0.0047216666666666665,0,0,2,0,0,1,1,0,,2022-10-10 13:55:37.096000,,,2022-10-10 13:55:59.369000,2022-10-10 13:55:41.331000,
United Kingdom of Great Britain and Northern Ireland,1998,Male,CAH15-02	Economics,26,10/10/22 - 16/10/22,0.03833333333333333,2.1416666666666666,0.2847216666666667,0,0.0033333333333333335,0,0,02:28:05,02:21:13,3,9,0,0.0036100000000000004,0.0008333333333333334,0,0,1.4163883333333334,0,0,6,1,0,0,6,0,,2022-10-10 15:23:58.328000,2022-10-11 14:45:15.589000,,,2022-10-10 15:24:00.935000,
Switzerland,1996,Female,CAH17-01	Business and management,27,10/10/22 - 16/10/22,0.075,1.116945,0,0,0,0,0,01:11:31,02:21:13,3,7,0,0.0033316666666666664,0,0,0.554445,0.550555,0,0,5,0,0,1,4,0,,2022-10-10 21:43:06.629000,,,2022-10-11 14:34:41.621000,2022-10-10 21:43:08.677000,
United Kingdom of Great Britain and Northern Ireland,1995,Non-binary / third gender,"CAH15-01	Sociology, social policy and anthropology",28,10/10/22 - 16/10/22,2.0283333333333333,0.8711116666666666,0,0,0,0,0,02:53:58,02:21:13,9,10,0,0.00889,0.0011116666666666666,0.006666666666666667,0.001945,0.8702783333333333,0,0,9,8,1,4,2,0,,2022-10-11 12:01:05.549000,2022-10-11 12:01:05.549000,2022-10-11 12:01:06.970000,2022-10-11 12:01:06.970000,2022-10-11 12:01:06.970000,
United Kingdom of Great Britain and Northern Ireland,1998,Male,CAH11-01	Computing,29,10/10/22 - 16/10/22,0,2.0152783333333333,0,0,0,0,0,02:00:55,02:21:13,2,2,0,0.0011116666666666666,0,0,0,0.950555,0,0,2,0,0,0,2,0,,2022-10-11 13:46:15.260000,,,,2022-10-11 13:46:17.830000,
Spain,1983,Male,CAH10-01	Engineering,30,10/10/22 - 16/10/22,1.1388883333333333,1.15,0.009166666666666667,0.459445,0.010278333333333334,0,0.0011116666666666666,02:46:08,02:21:13,18,22,0,0.028056666666666667,0.0275,0.007778333333333333,0.9072216666666667,0.7633333333333333,0,0,13,2,2,1,3,1,,2022-10-10 16:09:03.269000,2022-11-08 14:48:50.428000,2022-10-31 23:37:43.785000,2022-10-11 14:23:26.518000,2022-10-10 16:09:10.141000,2022-10-14 05:56:50.856000
India,1998,Male,CAH11-01	Computing,31,10/10/22 - 16/10/22,0,0.048054999999999994,0,0,0,0,0,00:02:53,02:21:13,2,2,0,0.0013883333333333332,0,0,0,0.031111666666666666,0,0,2,0,0,0,2,0,,2022-10-11 10:14:53.802000,,,,2022-10-11 10:14:56.774000,
Nigeria,1979,Female,CAH17-01	Business and management,32,10/10/22 - 16/10/22,0,0,0,0,0,0,0,00:00:00,02:21:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nigeria,1970,Prefer to self-describe,CAH17-01	Business and management,33,10/10/22 - 16/10/22,0,0.034166666666666665,0.046945,0,0,0,0,00:04:52,02:21:13,4,5,0,0.004166666666666667,0.018055,0,0.007500000000000001,0,0,0,3,1,0,1,1,0,,2022-10-12 22:47:29.389000,2022-10-12 22:49:30.887000,,2022-10-12 22:48:58.591000,2022-10-12 22:47:32.337000,
Sri Lanka,1992,Female,CAH17-01	Business and management,34,10/10/22 - 16/10/22,0,0.030000000000000002,0.015278333333333335,0.08638833333333333,0,0,0,00:07:54,02:21:13,4,6,0,0.019166666666666665,0.0011116666666666666,0,0.03972166666666666,0.007500000000000001,0,0,6,1,0,4,1,0,,2022-10-13 15:31:46.960000,2022-10-13 15:38:53.304000,,2022-10-13 15:31:49.672000,2022-10-13 15:36:16.417000,
Nigeria,1999,Male,CAH11-01	Computing,35,10/10/22 - 16/10/22,0,0.8102783333333333,0,0,0,0,0,00:48:37,02:21:13,2,2,0,0.0022216666666666665,0,0,0,0.7958333333333333,0,0,4,0,0,0,4,0,,2022-10-11 14:06:47.448000,,,,2022-10-11 14:06:49.241000,
Nigeria,1987,Female,"CAH07-04	General, applied and forensic sciences",36,10/10/22 - 16/10/22,0,1.7136116666666668,0,0,0,0,0,01:42:49,02:21:13,3,3,0,0.0013883333333333332,0,0,0.42,0,0,0,1,0,0,1,0,0,,2022-10-11 14:50:52.434000,,,2022-10-11 14:50:57.025000,,
Sri Lanka,1981,Male,CAH17-01	Business and management,37,10/10/22 - 16/10/22,0,3.1300000000000003,0,0,0,0,0,03:07:48,02:21:13,2,2,0,0.000555,0,0,0,0.016944999999999998,0,0,1,0,0,0,1,0,,2022-10-11 14:02:40.141000,,,,2022-10-11 14:02:41.768000,
Pakistan,1993,Male,CAH11-01	Computing,38,10/10/22 - 16/10/22,0.27666666666666667,0.5302766666666667,0,0,0,0,0,00:48:25,02:21:13,2,2,0,0.0008333333333333334,0,0,0,0.0063883333333333335,0,0,1,0,0,0,1,0,,2022-10-11 13:33:17.187000,,,,2022-10-11 13:33:20.589000,
Pakistan,1991,Female,CAH11-01	Computing,39,10/10/22 - 16/10/22,0.18527833333333332,2.73,0,0,0,1.7386116666666669,4.045278333333333,08:41:57,02:21:13,3,8,0,0.004166666666666667,0.0022216666666666665,0,0,3.959443333333333,0,0,8,2,0,0,8,0,,2022-10-15 16:56:00.073000,2022-10-10 14:40:11.828000,,,2022-10-15 16:56:02.376000,
Sri Lanka,1996,Male,CAH17-01	Business and management,40,10/10/22 - 16/10/22,0,1.1816666666666669,0,0,0,0,0,01:10:54,02:21:13,4,4,0,0.008333333333333333,0,0,0.17805500000000002,0.7122216666666666,0,0,5,0,0,1,4,0,,2022-10-11 14:20:33.265000,,,2022-10-11 14:20:48.965000,2022-10-11 14:20:39.287000,
India,1992,Male,CAH15-02	Economics,41,10/10/22 - 16/10/22,0,0.18583333333333335,0,0,0,0,0,00:11:09,02:21:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
United Kingdom of Great Britain and Northern Ireland,1975,Female,CAH07-01	Physics and astronomy,42,10/10/22 - 16/10/22,0.49805666666666665,0,0,0.008333333333333333,0,0,0.014721666666666666,00:31:16,02:21:13,4,5,0,0.0033333333333333335,0.005278333333333333,0,0,0.449445,0,0,3,3,0,0,2,1,,2022-10-10 16:56:37.784000,2022-10-10 16:56:32.747000,,,2022-10-10 16:56:44.045000,2022-10-16 17:48:50.803000
Sri Lanka,1990,Female,CAH17-01	Business and management,43,10/10/22 - 16/10/22,0,1.6266666666666665,0,0,0,0,0.11916666666666667,01:44:45,02:21:13,5,9,0,0.004445,0.003888333333333333,0,1.3025,0.09083333333333334,0.0025,0,5,2,0,1,3,1,,2022-10-11 13:41:51.249000,2022-10-11 13:41:39.426000,,2022-10-11 14:14:00.049000,2022-10-11 13:41:58.690000,2022-10-16 11:23:12.544000
Malaysia,1993,Male,CAH17-01	Business and management,44,10/10/22 - 16/10/22,0.013611666666666668,4.252223333333334,0,0,0,0,0,04:15:57,02:21:13,3,5,0,0.005,0,0,1.2158333333333333,1.3963883333333333,0,0,10,0,0,5,4,0,,2022-10-11 12:41:11.663000,,,2022-10-11 14:08:52.434000,2022-10-11 12:41:14.905000,
Thailand,1993,Male,CAH10-01	Engineering,45,10/10/22 - 16/10/22,0,0.945555,0,0,0,0,0,00:56:44,02:21:13,2,4,0,0.0027783333333333336,0,0,0,0.8369449999999999,0,0,2,0,0,0,2,0,,2022-10-11 11:49:34.571000,,,,2022-10-11 11:49:40.171000,
India,1994,Male,CAH17-01	Business and management,46,10/10/22 - 16/10/22,2.408333333333333,1.956111666666667,0,0,0,0,0,04:21:52,02:21:13,3,4,0,0.0013883333333333332,0,0,2.3577783333333335,0.21861166666666668,0,0,2,0,0,1,1,0,,2022-10-10 15:45:01.214000,,,2022-10-10 15:45:04.312000,2022-10-11 13:45:14.839000,
United Kingdom of Great Britain and Northern Ireland,1997,Female,"CAH26-01 Geography, earth and environmental studies",47,10/10/22 - 16/10/22,1.5,0,0.010833333333333334,0,0,0,0,01:30:39,02:21:13,3,3,0,0.0022216666666666665,0,0,0.84,0.4952783333333333,0,0,4,0,0,1,2,0,,2022-10-10 12:52:42.196000,,,2022-10-10 12:52:54.250000,2022-10-10 13:43:20.019000,
Malaysia,1992,Male,CAH25-01	Creative arts and design,48,10/10/22 - 16/10/22,0,2.2963883333333333,0,0,0,0,0,02:17:47,02:21:13,2,3,0,0.0022233333333333332,0,0,0,2.2708333333333335,0,0,2,0,0,0,1,0,,2022-10-11 12:57:35.496000,,,,2022-10-11 12:57:39.026000,
Nigeria,1984,Female,CAH11-01	Computing,49,10/10/22 - 16/10/22,0.12416666666666668,1.8819450000000002,0,0,0.05222166666666666,0,0,02:03:30,02:21:13,4,5,0,0.006944999999999999,0,0,0.005555000000000001,0.4986116666666666,0.0036116666666666667,0,4,0,0,1,1,1,,2022-10-11 14:59:56.023000,,,2022-10-11 15:00:00.963000,2022-10-11 15:00:26.056000,2022-10-14 16:42:18.925000
Nigeria,1992,Male,CAH11-01	Computing,50,10/10/22 - 16/10/22,1.0602783333333334,4.208056666666667,0,0.17638833333333334,0,0.013888333333333332,0,05:27:31,02:21:13,4,10,0,0.00861,0,0,0.04388833333333333,3.3408333333333333,0.01,0,8,0,0,1,6,1,,2022-10-10 20:16:27.691000,,,2022-10-11 14:03:56.307000,2022-10-10 20:16:31.516000,2022-10-13 21:31:52.902000
Nigeria,1998,Female,CAH16-01	Law,51,10/10/22 - 16/10/22,0,1.1716666666666666,0,0,0,0,0.021945,01:11:37,02:21:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nigeria,1991,Female,CAH10-03	Materials and technology,52,10/10/22 - 16/10/22,0,2.5005566666666668,0,0,0,0,0,02:30:02,02:21:13,3,6,0,0.043054999999999996,0,0,0.003888333333333333,0.4413883333333333,0,0,5,0,0,1,3,0,,2022-10-11 13:33:09.235000,,,2022-10-11 14:28:49.454000,2022-10-11 13:35:36.279000,
