student_id,total_marks,list_of_countries,what_is_your_year_of_birth_just_the_year,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area
136,72.0,United Kingdom of Great Britain and Northern Ireland,1974,Male,CAH11-01	Computing
137,58.0,Nigeria,1991,Female,CAH17-01	Business and management
138,58.0,Morocco,2001,Male,CAH11-01	Computing
139,63.0,Nigeria,2000,Male,CAH03-01	Biosciences
140,75.2,United Kingdom of Great Britain and Northern Ireland,1988,Female,CAH04-01	Psychology
141,51.8,China,2001,Male,CAH11-01	Computing
142,60.0,Jordan,1994,Female,CAH04-01	Psychology
143,64.0,United Kingdom of Great Britain and Northern Ireland,1990,Male,CAH02-05	Medical sciences
144,64.4,Bangladesh,1995,Female,CAH17-01	Business and management
145,64.0,United Kingdom of Great Britain and Northern Ireland,2002,Male,CAH20-01	History and archaeology
146,74.0,United Kingdom of Great Britain and Northern Ireland,1979,Female,CAH22-01	Education and teaching
147,76.2,United Kingdom of Great Britain and Northern Ireland,1983,Male,CAH09-01	Mathematical sciences
148,73.4,Sri Lanka,1983,Male,CAH10-01	Engineering
149,60.4,Sri Lanka,1993,Male,CAH17-01	Business and management
150,61.8,United Kingdom of Great Britain and Northern Ireland,2000,Male,CAH09-01	Mathematical sciences
151,63.6,United Kingdom of Great Britain and Northern Ireland,1996,Male,CAH04-01	Psychology
152,61.2,Bangladesh,1999,Male,CAH10-01	Engineering
153,58.0,Nigeria,1976,Female,CAH25-01	Creative arts and design
154,71.0,Pakistan,1998,Male,CAH11-01	Computing
155,68.2,Turkey,1969,Female,CAH22-01	Education and teaching
156,73.0,Sri Lanka,2001,Male,CAH17-01	Business and management
157,61.4,Sri Lanka,1986,Male,CAH17-01	Business and management
158,60.6,India,1995,Male,CAH10-01	Engineering
159,48.2,Cameroon,1991,Female,CAH17-01	Business and management
160,61.8,United Kingdom of Great Britain and Northern Ireland,2001,Male,CAH09-01	Mathematical sciences
161,64.4,Egypt,2000,Male,CAH11-01	Computing
162,69.4,Myanmar,1995,Male,CAH11-01	Computing
163,72.0,United Kingdom of Great Britain and Northern Ireland,1991,Male,CAH15-03	Politics
164,65.0,Sri Lanka,1994,Male,CAH11-01	Computing
165,61.6,Turkey,1984,Male,CAH17-01	Business and management
166,68.6,Malaysia,1998,Female,CAH17-01	Business and management
167,74.6,Pakistan,1995,Male,CAH10-01	Engineering
168,63.0,United Kingdom of Great Britain and Northern Ireland,2001,Female,CAH17-01	Business and management
169,76.2,Sweden,1977,Male,"CAH15-01	Sociology, social policy and anthropology"
170,73.4,Pakistan,1987,Male,CAH11-01	Computing
