total_marks,list_of_countries,what_is_your_year_of_birth_just_the_year,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,student_id,date_range,monday,tuesday,wednesday,thursday,friday,saturday,sunday,student_time_in_course,avg_time_per_user,total_items,total_logins,std_act_assignments,std_act_learning_materials,std_act_module_information_handbook,std_act_reading_list,std_act_week1,std_act_week2,no_of_times_accessed_assignments,no_of_times_accessed_learning_materials,no_of_times_accessed_module_information_handbook,no_of_times_accessed_reading_list,no_of_times_week1,no_of_times_week2,initial_access_assignments,initial_access_learning_materials,initial_access_information_handbook,initial_access_reading_list,initial_access_week1,initial_access_week2,main_week,std_act_week3,no_of_times_week3,initial_access_week3,std_act_df5,no_of_times_week4,initial_access_week4,std_act_week4,std_act_week5,std_act_week6,std_act_week7,no_of_times_week5,no_of_times_week6,no_of_times_week7,initial_access_week5,initial_access_week6,initial_access_week7,std_act_week8,no_of_times_week8,initial_access_week8,std_act_week9,no_of_times_week9,initial_access_week9,std_act_week10,no_of_times_week10,initial_access_week10,std_act_week_11_feedback,no_of_times_week11_feedback,initial_access_week11_feedback
67.0,Nigeria,1993,Female,CAH09-01	Mathematical sciences,23,03/10/22 - 09/10/22,0.0,0.010278333333333334,0.0,0.0,0.0,0.0,0.0,00:00:37,01:19:38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75.0,United Kingdom of Great Britain and Northern Ireland,1988,Male,CAH03-01	Biosciences,24,03/10/22 - 09/10/22,0.0,2.9775,0.0,1.1400000000000001,0.0,0.12361166666666668,0.0,04:14:28,01:19:38,3,3,0.0,0.0008333333333333334,0.6950000000000001,0.0,2.026945,0.0,0,1,1,0,1,0,NA,2022-10-04 14:58:42.539000,2022-10-04 14:02:35.904000,NA,2022-10-04 14:58:45.063000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66.0,United Kingdom of Great Britain and Northern Ireland,2000,Male,CAH17-01	Business and management,25,03/10/22 - 09/10/22,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,00:01:00,01:19:38,4,4,0.0,0.00027833333333333334,0.0,0.000555,0.0,0.0,0,1,0,2,1,0,NA,2022-10-04 15:37:42.258000,NA,2022-10-04 09:06:45.752000,2022-10-04 15:37:43.518000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.0,United Kingdom of Great Britain and Northern Ireland,1998,Male,CAH15-02	Economics,26,03/10/22 - 09/10/22,0.0,2.481943333333333,0.0,0.0,0.0,0.0,0.0,02:28:55,01:19:38,3,3,0.0,0.0022216666666666665,0.000555,0.0,0.149445,0.0,0,2,1,0,2,0,NA,2022-10-04 15:44:39.470000,2022-10-04 13:25:50.746000,NA,2022-10-04 15:44:43.449000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71.0,Switzerland,1996,Female,CAH17-01	Business and management,27,03/10/22 - 09/10/22,0.148055,1.5969450000000003,0.006111666666666666,0.0,0.0,0.003055,0.0,01:45:15,01:19:38,3,6,0.0,0.0033316666666666664,0.46888833333333335,0.0,1.1022216666666667,0.0,0,3,2,0,2,0,NA,2022-10-04 14:58:47.604000,2022-10-04 14:11:00.414000,NA,2022-10-04 14:58:49.725000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82.0,United Kingdom of Great Britain and Northern Ireland,1995,Non-binary / third gender,"CAH15-01	Sociology, social policy and anthropology",28,03/10/22 - 09/10/22,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,00:00:03,01:19:38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81.0,United Kingdom of Great Britain and Northern Ireland,1998,Male,CAH11-01	Computing,29,03/10/22 - 09/10/22,0.0,0.006944999999999999,0.015554999999999998,0.0,0.009445000000000002,0.005,0.0,00:02:13,01:19:38,4,5,0.0,0.005556666666666667,0.0,0.0,0.005,0.0,0,6,0,0,2,0,NA,2022-10-04 13:10:48.064000,NA,NA,2022-10-25 09:58:19.976000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71.0,Spain,1983,Male,CAH10-01	Engineering,30,03/10/22 - 09/10/22,0.5458333333333333,0.8922216666666667,0.010555,0.0,0.0,0.0,0.007221666666666667,01:27:20,01:19:38,6,17,0.0,0.005555000000000001,0.001945,0.09639,0.9113883333333334,0.0,0,8,2,7,6,0,NA,2022-10-03 12:04:21.780000,2022-10-03 13:15:59.334000,2022-10-03 12:05:34.017000,2022-10-03 12:04:23.181000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.0,India,1998,Male,CAH11-01	Computing,31,03/10/22 - 09/10/22,0.0,1.3280549999999998,0.006111666666666666,0.0,0.0,0.0,0.0,01:20:03,01:19:38,2,2,0.0,0.0011116666666666666,0.0,0.0,1.3016666666666665,0.0,0,2,0,0,2,0,NA,2022-10-04 14:31:56.093000,NA,NA,2022-10-04 14:31:58.234000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54.0,Nigeria,1979,Female,CAH17-01	Business and management,32,03/10/22 - 09/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,01:19:38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,Nigeria,1970,Prefer to self-describe,CAH17-01	Business and management,33,03/10/22 - 09/10/22,0.0,0.0011116666666666666,0.0,0.0,0.0,0.0,0.0,00:00:04,01:19:38,2,2,0.0,0.000555,0.0,0.0,0.0,0.0,0,1,0,0,1,0,NA,2022-10-04 15:47:52.819000,NA,NA,2022-10-04 15:47:55.162000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60.0,Sri Lanka,1992,Female,CAH17-01	Business and management,34,03/10/22 - 09/10/22,0.0,0.6180566666666666,0.0,0.0,0.0,0.0,0.0,00:37:05,01:19:38,2,2,0.0,0.00027833333333333334,0.0,0.0,0.355555,0.0,0,2,0,0,1,0,NA,2022-10-04 15:39:03.985000,NA,NA,2022-10-04 15:39:05.475000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,Nigeria,1999,Male,CAH11-01	Computing,35,03/10/22 - 09/10/22,0.0,3.8136116666666666,0.0,0.0,0.0,0.0,0.05222166666666666,03:51:57,01:19:38,4,6,0.0,0.007776666666666666,0.16111166666666665,0.0,2.074445,0.0,0,4,1,0,2,0,NA,2022-10-04 15:48:35.997000,2022-10-04 14:02:07.854000,NA,2022-10-04 15:48:37.560000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,Nigeria,1987,Female,"CAH07-04	General, applied and forensic sciences",36,03/10/22 - 09/10/22,0.023611666666666663,0.17222333333333334,2.158888333333333,0.0,0.03527833333333333,0.0,0.0,02:23:24,01:19:38,2,0,0.0,0.0036100000000000004,0.0,0.0,2.306388333333333,0.0,0,3,0,0,3,0,NA,2022-10-04 14:20:26.401000,NA,NA,2022-10-04 14:20:30.535000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67.0,Sri Lanka,1981,Male,CAH17-01	Business and management,37,03/10/22 - 09/10/22,0.025,0.016944999999999998,0.0,0.0,0.0,0.0,0.0,00:02:31,01:19:38,2,4,0.0,0.01638833333333333,0.0,0.0,0.017221666666666666,0.0,0,2,0,0,2,0,NA,2022-10-03 21:49:54.866000,NA,NA,2022-10-03 21:50:05.988000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65.0,Pakistan,1993,Male,CAH11-01	Computing,38,03/10/22 - 09/10/22,0.0,1.1444450000000002,0.0,0.0,0.0,0.0,0.0,01:08:40,01:19:38,2,2,0.0,0.0008333333333333334,0.0,0.0,1.1302783333333333,0.0,0,1,0,0,1,0,NA,2022-10-04 15:52:38.304000,NA,NA,2022-10-04 15:52:41.536000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,Pakistan,1991,Female,CAH11-01	Computing,39,03/10/22 - 09/10/22,0.0,0.011388333333333332,0.008055,0.0,0.0,0.0,0.0,00:01:10,01:19:38,3,3,0.0,0.000555,0.0016666666666666668,0.0,0.0,0.0,0,1,2,0,1,0,NA,2022-10-04 15:47:51.604000,2022-10-05 15:43:08.368000,NA,2022-10-04 15:47:53.219000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.0,Sri Lanka,1996,Male,CAH17-01	Business and management,40,03/10/22 - 09/10/22,0.0013883333333333332,0.29472333333333334,0.15083333333333335,0.0,0.0,0.0,0.0,00:26:49,01:19:38,2,7,0.0,0.0030533333333333332,0.0,0.0,0.15388833333333335,0.0,0,4,0,0,3,0,NA,2022-10-04 10:15:36.128000,NA,NA,2022-10-04 10:15:38.375000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60.0,India,1992,Male,CAH15-02	Economics,41,03/10/22 - 09/10/22,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,00:00:12,01:19:38,2,2,0.0,0.000555,0.0,0.0,0.0,0.0,0,1,0,0,1,0,NA,2022-10-04 15:46:59.276000,NA,NA,2022-10-04 15:47:00.779000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.0,United Kingdom of Great Britain and Northern Ireland,1975,Female,CAH07-01	Physics and astronomy,42,03/10/22 - 09/10/22,0.0,0.5572233333333333,0.0,0.0,0.001945,0.0,0.0,00:33:33,01:19:38,5,9,0.0,0.001665,0.0016666666666666668,0.28027833333333335,0.020555,0.0,0,3,1,4,3,0,NA,2022-10-04 09:43:34.909000,2022-10-04 16:55:30.974000,2022-10-04 09:44:50.223000,2022-10-04 09:43:36.666000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,Sri Lanka,1990,Female,CAH17-01	Business and management,43,03/10/22 - 09/10/22,0.0,4.0216666666666665,0.0,0.06833333333333333,0.0,0.0,0.0,04:05:24,01:19:38,3,3,0.0,0.0022216666666666665,0.026111666666666665,0.0,0.920555,0.0,0,3,3,0,3,0,NA,2022-10-04 16:24:36.415000,2022-10-04 16:24:34.051000,NA,2022-10-04 16:24:40.349000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
