student_id,total_marks,list_of_countries,what_is_your_year_of_birth,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,what_is_your_year_of_birth_just_the_year
136,75.0,Peru,1999.0,Female,CAH10-01	Engineering,
1,60.0,Nigeria,,Male,"CAH13-01	Architecture, building and planning",1996.0
2,70.0,Nigeria,,Male,CAH07-02	Chemistry,1996.0
3,65.0,Nigeria,,Female,CAH15-02	Economics,1990.0
4,55.0,Nigeria,,Male,CAH15-02	Economics,1991.0
5,65.0,Pakistan,,Male,CAH17-01	Business and management,1998.0
6,62.0,Nigeria,,Male,CAH10-01	Engineering,1985.0
7,61.0,Nigeria,,Male,CAH11-01	Computing,1985.0
8,77.0,United Kingdom of Great Britain and Northern Ireland,,Female,"CAH07-04	General, applied and forensic sciences",2001.0
9,61.0,Nigeria,,Male,CAH03-01	Biosciences,1976.0
10,63.0,India,,Female,CAH11-01	Computing,1998.0
11,67.0,Nigeria,,Female,CAH07-02	Chemistry,1996.0
12,66.0,Nigeria,,Female,"CAH06-01	Agriculture, food and related studies",1986.0
13,76.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH11-01	Computing,1995.0
14,57.0,Bangladesh,,Female,CAH10-01	Engineering,1997.0
15,64.0,Italy,,Female,CAH16-01	Law,2000.0
16,64.0,Sri Lanka,,Female,CAH17-01	Business and management,1993.0
17,78.0,Viet Nam,,Male,CAH11-01	Computing,1999.0
18,63.0,Viet Nam,,Female,CAH17-01	Business and management,1996.0
19,62.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH15-02	Economics,2001.0
20,62.0,Sri Lanka,,Female,CAH17-01	Business and management,1989.0
21,66.0,Sri Lanka,,Male,CAH17-01	Business and management,1997.0
22,59.0,Nigeria,,Male,"CAH07-04	General, applied and forensic sciences",1990.0
23,67.0,Nigeria,,Female,CAH09-01	Mathematical sciences,1993.0
24,75.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH03-01	Biosciences,1988.0
25,66.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH17-01	Business and management,2000.0
26,83.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH15-02	Economics,1998.0
27,71.0,Switzerland,,Female,CAH17-01	Business and management,1996.0
28,82.0,United Kingdom of Great Britain and Northern Ireland,,Non-binary / third gender,"CAH15-01	Sociology, social policy and anthropology",1995.0
29,81.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH11-01	Computing,1998.0
30,71.0,Spain,,Male,CAH10-01	Engineering,1983.0
31,63.0,India,,Male,CAH11-01	Computing,1998.0
32,54.0,Nigeria,,Female,CAH17-01	Business and management,1979.0
33,62.0,Nigeria,,Prefer to self-describe,CAH17-01	Business and management,1970.0
34,60.0,Sri Lanka,,Female,CAH17-01	Business and management,1992.0
35,62.0,Nigeria,,Male,CAH11-01	Computing,1999.0
36,62.0,Nigeria,,Female,"CAH07-04	General, applied and forensic sciences",1987.0
37,67.0,Sri Lanka,,Male,CAH17-01	Business and management,1981.0
38,65.0,Pakistan,,Male,CAH11-01	Computing,1993.0
39,62.0,Pakistan,,Female,CAH11-01	Computing,1991.0
40,63.0,Sri Lanka,,Male,CAH17-01	Business and management,1996.0
41,60.0,India,,Male,CAH15-02	Economics,1992.0
42,83.0,United Kingdom of Great Britain and Northern Ireland,,Female,CAH07-01	Physics and astronomy,1975.0
43,62.0,Sri Lanka,,Female,CAH17-01	Business and management,1990.0
44,76.0,Malaysia,,Male,CAH17-01	Business and management,1993.0
45,67.0,Thailand,,Male,CAH10-01	Engineering,1993.0
46,65.0,India,,Male,CAH17-01	Business and management,1994.0
47,66.0,United Kingdom of Great Britain and Northern Ireland,,Female,"CAH26-01 Geography, earth and environmental studies",1997.0
48,60.0,Malaysia,,Male,CAH25-01	Creative arts and design,1992.0
49,68.0,Nigeria,,Female,CAH11-01	Computing,1984.0
50,57.0,Nigeria,,Male,CAH11-01	Computing,1992.0
51,67.0,Nigeria,,Female,CAH16-01	Law,1998.0
52,62.0,Nigeria,,Female,CAH10-03	Materials and technology,1991.0
53,67.0,Nigeria,,Female,CAH09-01	Mathematical sciences,2001.0
54,68.0,Nigeria,,Female,CAH11-01	Computing,1979.0
55,66.0,Nigeria,,Female,CAH10-03	Materials and technology,1986.0
56,70.0,Nigeria,,Female,CAH11-01	Computing,1986.0
57,55.0,Nigeria,,Female,CAH17-01	Business and management,1990.0
58,66.0,Nigeria,,Male,CAH03-01	Biosciences,1992.0
59,54.0,Sri Lanka,,Male,CAH10-01	Engineering,1991.0
60,59.0,Viet Nam,,Female,CAH17-01	Business and management,1997.0
61,60.0,India,,Female,CAH10-01	Engineering,1993.0
62,60.0,Turkey,,Male,CAH17-01	Business and management,1996.0
63,78.0,United Kingdom of Great Britain and Northern Ireland,,Female,CAH17-01	Business and management,1998.0
64,61.0,Iran,,Female,CAH15-04	Health and social care,1989.0
