student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,bond_perosnally_with_my_team_members,we_will_collaborate_together_on_the_same_tasks,work_separately_and_link_up_our_work_later,develop_my_professional_skills,develop_my_team_working_skills,adjust_the_project_regularly,we_will_stick_to_our_original_project,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,this_module_is_interesting,for_my_own_good,because_i_am_supposed_to_do_it,i_don’t_see_any_good_reasons_in_the_module,this_module_is_pleasant,this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,i_am_not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,don’t_have_any_choice,don’t_see_what_this_module_brings_me,because_i_feel_good_about_this_module,module_is_important_for_me,i_feel_that_i_have_to_do_it,i_am_not_sure_it_is_a_good_thing_to_pursue_it
1,Nigeria,1996,Male,,"CAH13-01	Architecture, building and planning",5,"CONSTRUCTION,REAL ESTATE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Exactly,Moderately,Exactly,A Little,Exactly,Enough,Exactly,Exactly,Not At All,Moderately,Exactly,Exactly,Exactly,A Little
77,Sri Lanka,1990,Male,,CAH17-01	Business and management,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pakistan,1992,Male,,CAH10-01	Engineering,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,India,1994,Female,,CAH15-02	Economics, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Nigeria,1988,Male,,CAH10-01	Engineering,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,India,26-07-1989,Female,,CAH11-01	Computing,9,INFORMATION AND COMMUNICATION,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Diagree strongly,Diagree strongly,Diagree strongly,Agree strongly,Agree a little,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Moderately,A Little,Exactly,Exactly,Moderately,Moderately,Moderately,Not At All,Moderately,Moderately,Exactly,Exactly,Exactly,Moderately
82,Nigeria,1985,Female,,CAH09-01	Mathematical sciences,12,EDUCATION,I have no prior experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Diagree strongly,Diagree strongly,Agree moderately,Diagree strongly,Agree moderately,Agree moderately,Agree moderately,Diagree strongly,Agree moderately,Neither agree nor disagree,Moderately,Exactly,Exactly,Moderately,Moderately,Exactly,Exactly,Not At All,A Little,Exactly,Enough,Moderately,Moderately,Exactly,Exactly,Not At All
83,Nigeria,1996,Female,,CAH07-01	Physics and astronomy,2,"INFORMATION AND COMMUNICATION,EDUCATION,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Diagree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree moderately,Exactly,Exactly,Exactly,Not At All,A Lot,Exactly,Exactly,Not At All,A Lot,Exactly,Moderately,Not At All,Exactly,Exactly,Exactly,Not At All
84,India,1999,Male,,CAH11-01	Computing,0,,I have no prior experience of teamworking,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Exactly,Enough,A Little,A Very Little,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Not At All,Moderately,Moderately,Moderately,Moderately,Moderately
85,Nigeria,1993,Male,,"CAH02-02	Pharmacology, toxicology and pharmacy",2,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a little,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree moderately,,Agree strongly,Neither agree nor disagree,Enough,Exactly,Moderately,Not At All,Moderately,A Lot,A Lot,Not At All,Enough,Moderately,A Very Little,A Very Little,Moderately,Enough,Enough,Not At All
86,Cameroon,1997,Male,,CAH10-03	Materials and technology,3,OTHER SERVICE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree a little,Agree a little,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,A Lot,A Lot,Enough,Not At All,A Lot,A Lot,Enough,Not At All,Enough,Enough,A Very Little,Not At All,A Lot,A Lot,A Lot,Not At All
87,Egypt,1996,Male,,CAH10-01	Engineering,,"INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have extensive experience of teamworking,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,A Little,Enough,A Lot,Exactly,A Little,A Very Little,A Lot,Exactly,A Very Little,A Very Little,Exactly,Exactly,A Very Little,A Very Little,Exactly,Exactly
88,Nigeria,1980,Male,,CAH10-01	Engineering,15,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,A Little,Not At All,A Little,Exactly,Exactly,Not At All,A Lot,Not At All,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
89,Thailand,1997,Male,,CAH11-01	Computing,3,INFORMATION AND COMMUNICATION,I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Exactly,A Very Little,Enough,A Lot,A Lot,Not At All,A Lot,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
90,Pakistan,1995,Male,,CAH11-01	Computing,4,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,EDUCATION,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Agree moderately,Diagree strongly,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Diagree strongly,Agree moderately,Disagree a little,A Lot,A Lot,A Lot,A Lot,A Lot,Exactly,Exactly,Moderately,A Lot,Exactly,A Little,A Very Little,Exactly,Exactly,A Lot,Not At All
91,Sri Lanka,1994,Male,,CAH17-01	Business and management,2.5,"MANUFACTURING,TRANSPORTATION AND STORAGE,INFORMATION AND COMMUNICATION",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree moderately,Agree moderately,Diagree strongly,Exactly,A Lot,Moderately,Not At All,Exactly,Exactly,Moderately,Moderately,Exactly,Exactly,Moderately,Moderately,Exactly,Exactly,Moderately,Moderately
92,Nigeria,1992,Male,,,6,"AGRICULTURE, FORESTRY AND FISHING,REAL ESTATE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Agree moderately,Agree strongly,Agree moderately,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Enough,Exactly,Exactly,Not At All,Exactly,Exactly,Exactly,Not At All,Not At All,Not At All,A Lot,Not At All,Exactly,Exactly,Exactly,Not At All
93,Sri Lanka,1986,Male,,CAH11-01	Computing,12,INFORMATION AND COMMUNICATION,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,
94,India,1984,Female,,CAH10-01	Engineering,15,"INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree a little,Diagree strongly,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Diagree strongly,Agree a little,Diagree strongly,Exactly,Exactly,Moderately,Not At All,Moderately,Exactly,Exactly,Not At All,A Little,Not At All,Not At All,Not At All,Exactly,Exactly,Moderately,Not At All
95,Nigeria,1980,Female,,CAH03-01	Biosciences,14,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,FINANCIAL AND INSURANCE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Disagree a little,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Moderately,Moderately,Not At All,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All
96,Sri Lanka,1998,Male,,CAH11-01	Computing,3,INFORMATION AND COMMUNICATION,I have some experience,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Agree moderately,Neither agree nor disagree,A Lot,A Lot,Moderately,A Very Little,Enough,A Lot,Moderately,A Very Little,A Lot,,A Very Little,A Very Little,Enough,A Lot,Moderately,A Very Little
97,Bolivia,02/01/1998,Male,,CAH10-01	Engineering,2,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,I have some experience,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree a little,Exactly,A Lot,Moderately,Not At All,A Lot,A Lot,Enough,Not At All,A Lot,Exactly,Not At All,Not At All,A Lot,Exactly,Moderately,Not At All
98,Spain,1994,Female,,"CAH24-01	Media, journalism and communications",5,INFORMATION AND COMMUNICATION,I have experience of teamworking and have also led teams,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Diagree strongly,Agree strongly,Disagree moderately,Neither agree nor disagree,Diagree strongly,Exactly,Exactly,Not At All,Not At All,Moderately,Exactly,Moderately,Not At All,Moderately,A Lot,Not At All,Not At All,A Lot,Exactly,A Little,Not At All
99,Turkey,1987,Male,,CAH17-01	Business and management,7,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree a little,Disagree moderately,Enough,Moderately,A Lot,A Little,Moderately,Enough,A Lot,Enough,Moderately,A Little,A Lot,Moderately,Enough,Moderately,Enough,Enough
100,Turkey,1990,Male,,CAH15-02	Economics,,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Moderately,A Little,A Lot,A Very Little,Moderately,Moderately,Enough,A Very Little,A Very Little,Not At All,Enough,Moderately,Moderately,Enough,Moderately,A Very Little
101,Nigeria,20 March 2023,Male,,CAH10-01	Engineering,10,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,INFORMATION AND COMMUNICATION",I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Agree a little,Agree a little,Disagree moderately,Neither agree nor disagree,Diagree strongly,Exactly,A Lot,Moderately,Not At All,Exactly,Exactly,Moderately,Not At All,Exactly,A Lot,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
102,Nigeria,23/06/1995,Male,,CAH07-01	Physics and astronomy,3,"INFORMATION AND COMMUNICATION,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Diagree strongly,Agree a little,Diagree strongly,Enough,A Lot,Exactly,Not At All,Enough,Exactly,Exactly,Not At All,Enough,Enough,A Very Little,Not At All,A Lot,Exactly,Enough,Not At All
103,Nigeria,20/11/1997,Female,,CAH07-02	Chemistry,3,"ARTS, ENTERTAINMENT AND RECREATION,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree a little,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Enough,A Lot,A Little,Not At All,A Lot,A Lot,A Very Little,A Lot,Enough,Enough,A Little,Moderately,Enough,A Lot,A Little,Enough
104,Nigeria,1976,Male,,CAH11-01	Computing,15,"INFORMATION AND COMMUNICATION,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Sri Lanka,1977,Male,,CAH09-01	Mathematical sciences,18.5,MANUFACTURING,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree strongly,Diagree strongly,Disagree a little,Diagree strongly,Agree moderately,Diagree strongly,Exactly,A Lot,A Lot,Not At All,A Lot,Exactly,Exactly,Not At All,A Lot,A Lot,Moderately,Not At All,Exactly,Exactly,Exactly,Not At All
106,Nigeria,1986,Female,,CAH03-01	Biosciences,7,EDUCATION,I have some experience,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Bangladesh,07/09/1999,Male,,CAH11-01	Computing,0,,I have no prior experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Diagree strongly,Agree moderately,Agree a little,Exactly,Exactly,A Little,Enough,A Lot,A Lot,Moderately,A Very Little,Enough,A Lot,Not At All,Moderately,A Lot,A Lot,A Lot,A Very Little
108,India,1997,Female,,CAH11-01	Computing,5,"INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,A Lot,A Very Little,Not At All,A Lot,A Lot,Not At All,Not At All,Enough,Exactly,Not At All,A Very Little,Enough,Enough,Not At All,A Very Little
109,United States of America,1997,Male,,CAH03-02	Sport and exercise sciences,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,I have no prior experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Diagree strongly,Diagree strongly,Agree a little,Diagree strongly,Agree strongly,Agree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Enough,Enough,Not At All,Not At All,Moderately,Moderately,Enough,A Very Little,A Very Little,Enough,Not At All,Not At All,Moderately,Enough,Moderately,Not At All
110,United Kingdom of Great Britain and Northern Ireland,1998,Female,,CAH03-01	Biosciences,1,OTHER SERVICE ACTIVITIES,I have some experience,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree moderately,Enough,Exactly,Exactly,A Little,A Little,Enough,Exactly,A Little,Moderately,Moderately,Moderately,Not At All,Moderately,Enough,Enough,A Very Little
111,Nigeria,1980,Male,,CAH15-02	Economics,15,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a little,Disagree a little,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Exactly,Exactly,A Lot,A Very Little,Exactly,Exactly,Exactly,Not At All,Enough,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
112,Sri Lanka,1992,Female,,CAH09-01	Mathematical sciences,5,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Agree a little,Neither agree nor disagree,A Lot,Exactly,Moderately,Not At All,A Lot,Exactly,Enough,Not At All,Moderately,Moderately,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
113,Nigeria,1990,Male,,CAH16-01	Law,5,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,I have some experience,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Exactly,Exactly,Exactly,Not At All,A Lot,A Lot,A Lot,Not At All,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,A Lot,Not At All
114,Nigeria,1996,Female,,CAH19-01	English studies,3,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Diagree strongly,Agree moderately,Disagree a little,Agree moderately,Agree moderately,Agree strongly,,Disagree moderately,Disagree a little,Moderately,Exactly,Exactly,Not At All,Moderately,A Lot,Exactly,A Very Little,Enough,Enough,A Lot,A Very Little,Enough,Enough,A Lot,Moderately
115,Nigeria,2001,Male,,CAH07-01	Physics and astronomy,0,,I have some experience,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,A Little,Not At All,A Little,Exactly,Exactly,A Very Little,Enough,Exactly,Enough,Enough,Enough,Enough,Enough,Enough
116,Ghana,1992,Male,,CAH04-01	Psychology,,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Moderately,Not At All,A Lot,Exactly,A Lot,Not At All,Enough,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,A Very Little
117,Pakistan,1999,Female,,CAH11-01	Computing,,"INFORMATION AND COMMUNICATION,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,Enough,Exactly,Enough,A Very Little,A Lot,Exactly,Moderately,Not At All,Enough,A Lot,Not At All,Not At All,Enough,A Lot,Moderately,Not At All
118,Myanmar,1991,Female,,CAH17-01	Business and management,5,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ACCOMMODATION AND FOOD SERVICE ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Exactly,Exactly,Exactly,A Very Little,Enough,Enough,Moderately,Enough,Moderately,Enough,Not At All,Not At All,Moderately,Enough,Moderately,Not At All
119,Nigeria,1994,Male,,"CAH26-01 Geography, earth and environmental studies",,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES,FINANCIAL AND INSURANCE ACTIVITIES,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Not At All,A Lot,Exactly,Not At All,Not At All,Moderately,Exactly,Not At All,Not At All,Not At All,Not At All,Not At All,Not At All,Exactly,Not At All,Not At All
120,United Kingdom of Great Britain and Northern Ireland,2000,Male,,CAH04-01	Psychology,0,,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree moderately,Enough,A Lot,A Very Little,Not At All,Enough,A Lot,Not At All,A Very Little,Enough,Exactly,Not At All,Not At All,Enough,A Lot,Not At All,A Very Little
121,United Kingdom of Great Britain and Northern Ireland,2002,Male,,CAH11-01	Computing,3,"MANUFACTURING,CONSTRUCTION",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Moderately,Enough,Exactly,A Lot,Enough,A Little,Exactly,A Lot,A Little,Enough,A Lot,Moderately,Moderately,Moderately,A Lot,Enough
